linked,link,url,name
x,TustinMcIntosh,http://meas.ose.state.nm.us/site.jsp?id=114&status=Y&type=S&dist=3&basin=Mimbres Basin,TustinMcIntosh
x,TwinRocks,http://meas.ose.state.nm.us/site.jsp?id=84&status=Y&type=S&dist=5&basin=Animas River,TwinRocks
x,UpperChaseDitch,http://meas.ose.state.nm.us/site.jsp?id=173&status=Y&type=S&dist=7&basin=Cimarron River,UpperChaseDitch
x,UpperConsolidated,http://meas.ose.state.nm.us/site.jsp?id=43&status=Y&type=S&dist=6&basin=NPT,UpperConsolidated
x,ValentineMartinez,http://meas.ose.state.nm.us/site.jsp?id=228&status=Y&type=S&dist=6&basin=Lower Chama,ValentineMartinez
,ValleyDitch,http://meas.ose.state.nm.us/site.jsp?id=209&status=Y&type=S&dist=6&basin=Upper Chama,ValleyDitch
x,VicenteOrtiz,http://meas.ose.state.nm.us/site.jsp?id=130&status=Y&type=S&dist=6&basin=NPT,VicenteOrtiz
x,WandaRhodes,http://meas.ose.state.nm.us/site.jsp?id=156&status=Y&type=S&dist=2&basin=Roswell,WandaRhodes
x,WardwellHerron,http://meas.ose.state.nm.us/site.jsp?id=115&status=Y&type=S&dist=3&basin=Mimbres Basin,WardwellHerron
x,WestChaperito,http://meas.ose.state.nm.us/site.jsp?id=135&status=Y&type=S&dist=6&basin=Gallinas,WestChaperito
x,Willett,http://meas.ose.state.nm.us/site.jsp?id=85&status=Y&type=S&dist=5&basin=Animas River,Willett
,WillowCreekMesaDitch,http://meas.ose.state.nm.us/site.jsp?id=147&status=Y&type=S&dist=6&basin=Upper Chama,WillowCreekMesaDitch
x,WSFrenchLake,http://meas.ose.state.nm.us/site.jsp?id=175&status=Y&type=S&dist=7&basin=Cimarron River,WSFrenchLake
,Yungeh,http://meas.ose.state.nm.us/site.jsp?id=251&status=Y&type=S&dist=6&basin=Lower Chama,Yungeh
