linked,link,url,name
x,CSHoney,http://meas.ose.state.nm.us/site.jsp?id=174&status=Y&type=S&dist=7&basin=Cimarron River,CSHoney
x,Cunningham,http://meas.ose.state.nm.us/site.jsp?id=70&status=Y&type=S&dist=5&basin=La Plata River,Cunningham
x,CyMore,http://meas.ose.state.nm.us/site.jsp?id=7&status=Y&type=S&dist=6&basin=NPT,CyMore
,DelLlano,http://meas.ose.state.nm.us/site.jsp?id=235&status=Y&type=S&dist=6&basin=Santa Fe River,DelLlano
x,DelMolino,http://meas.ose.state.nm.us/site.jsp?id=129&status=Y&type=S&dist=6&basin=NPT,DelMolino
x,DelRio,http://meas.ose.state.nm.us/site.jsp?id=40&status=Y&type=S&dist=6&basin=NPT,DelRio
x,DoloresdeLasVegas,http://meas.ose.state.nm.us/site.jsp?id=62&status=Y&type=S&dist=6&basin=Gallinas,DoloresdeLasVegas
x,Dominguez,http://meas.ose.state.nm.us/site.jsp?id=196&status=Y&type=S&dist=3&basin=Mimbres Basin,Dominguez
x,Duran,http://meas.ose.state.nm.us/site.jsp?id=195&status=Y&type=S&dist=3&basin=Mimbres Basin,Duran
x,Eby-Baca,http://meas.ose.state.nm.us/site.jsp?id=199&status=Y&type=S&dist=3&basin=Mimbres Basin,Eby-Baca
x,Eledge,http://meas.ose.state.nm.us/site.jsp?id=71&status=Y&type=S&dist=5&basin=Animas River,Eledge
x,Ensenada,http://meas.ose.state.nm.us/site.jsp?id=8&status=Y&type=S&dist=6&basin=Upper Chama,Ensenada
x,FarmersIrrigation,http://meas.ose.state.nm.us/site.jsp?id=72&status=Y&type=S&dist=5&basin=Animas River,FarmersIrrigation
x,FarmersMutual,http://meas.ose.state.nm.us/site.jsp?id=73&status=Y&type=S&dist=5&basin=Animas River,FarmersMutual
x,FarmingtonEcho,http://meas.ose.state.nm.us/site.jsp?id=74&status=Y&type=S&dist=5&basin=Animas River,FarmingtonEcho
x,FelixDump,http://meas.ose.state.nm.us/site.jsp?id=153&status=Y&type=S&dist=2&basin=Roswell,FelixDump
x,Ferran,http://meas.ose.state.nm.us/site.jsp?id=221&status=Y&type=S&dist=6&basin=Lower Chama,Ferran
x,FrankV.Ortiz,http://meas.ose.state.nm.us/site.jsp?id=139&status=Y&type=S&dist=6&basin=NPT,FrankV.Ortiz
x,FS-14,http://meas.ose.state.nm.us/site.jsp?id=9&status=Y&type=G&dist=2&basin=Pecos River,FS-14
,FS-14-POD10,http://meas.ose.state.nm.us/site.jsp?id=237&status=Y&type=G&dist=2&basin=Pecos River,FS-14-POD10
x,FS-14-S,http://meas.ose.state.nm.us/site.jsp?id=10&status=Y&type=G&dist=2&basin=Pecos River,FS-14-S
x,FS-14-S-2,http://meas.ose.state.nm.us/site.jsp?id=11&status=Y&type=G&dist=2&basin=Pecos River,FS-14-S-2
x,FS-14-S-4,http://meas.ose.state.nm.us/site.jsp?id=12&status=Y&type=G&dist=2&basin=Pecos River,FS-14-S-4
x,FS-14-S-5,http://meas.ose.state.nm.us/site.jsp?id=13&status=Y&type=G&dist=2&basin=Pecos River,FS-14-S-5
x,FS-14-S-6,http://meas.ose.state.nm.us/site.jsp?id=14&status=Y&type=G&dist=2&basin=Pecos River,FS-14-S-6
x,FS-32,http://meas.ose.state.nm.us/site.jsp?id=15&status=Y&type=G&dist=2&basin=Pecos River,FS-32
x,FS-32-X,http://meas.ose.state.nm.us/site.jsp?id=16&status=Y&type=G&dist=2&basin=Pecos River,FS-32-X
x,FS-32-X-2,http://meas.ose.state.nm.us/site.jsp?id=17&status=Y&type=G&dist=2&basin=Pecos River,FS-32-X-2
x,FS-44-X,http://meas.ose.state.nm.us/site.jsp?id=18&status=Y&type=G&dist=2&basin=Pecos River,FS-44-X
x,FS-44-X-2,http://meas.ose.state.nm.us/site.jsp?id=19&status=Y&type=G&dist=2&basin=Pecos River,FS-44-X-2
